S.N.,plot_id,clump_sn,culm_sn,stump_ht_cm,sample_sn,sample_id,species_code,latin_name,species_name,d30,dbh,base,ht_culmination,length_m,nodes,culm_thickness_cm_bh,remarks,total no of samples,remarks,gree_wt_culm_kg,gree_wt_branch_kg,gree_wt_foliage_kg,total_biomass
1,1-11-Y-5,2,1,20,1,1-11-Y-5-2-1,414,Dendrocalamus hookeri,Bhalu bans,10.1,9,1.2,14.7,15.2,46,1.1,NA,1,,35.26,3.12,3.91,42.29
1,1-11-Y-5,2,2,22,2,1-11-Y-5-2-2,414,Dendrocalamus hookeri,Bhalu bans,12.6,10.2,1.3,14.9,15.6,46,1.1,NA,2,,39.38,2.98,3.46,45.82
1,1-11-Y-5,2,3,23,3,1-11-Y-5-2-3,414,Dendrocalamus hookeri,Bhalu bans,18.2,15,1.1,19.9,22,60,1.1,NA,3,,58.39,2.37,3.35,64.11
2,1-51-Y-4,2,3,11.5,1,1-51-Y-4-2-1,404,Bambusa nepalensis,Choya bans,5.8,5.6,0.5,10.3,10.8,27,2,NA,4,,25.3,2.6,4.5,32.4
2,1-51-Y-4,2,2,12,2,1-51-Y-4-2-2,404,Bambusa nepalensis,Choya bans,6.7,6.4,1.5,13.8,13.5,33,2.3,NA,5,,14.6,1.2,0.93,16.73
2,1-51-Y-4,2,1,14,3,1-51-Y-4-2-3,404,Bambusa nepalensis,Choya bans,8.8,8.6,2,15.4,14.9,43,1.4,NA,6,,7.2,0.93,1.7,9.83
3,1-51-Y-12,1,1,12.5,1,1-51-Y-12-1-1,413,Dendrocalamus hamiltonii,Choya bans,11.6,11.2,2.1,14.6,14.2,35,2,NA,7,,32.6,4.2,6.3,43.1
3,1-51-Y-12,2,2,13,2,1-51-Y-12-2-2,413,Dendrocalamus hamiltonii,Choya bans,8.5,8.3,0.7,16.5,16.1,45,2,NA,8,,18.2,3.7,3.69,25.59
3,1-51-Y-12,2,3,14,3,1-51-Y-12-2-3,413,Dendrocalamus hamiltonii,Choya bans,6.6,6.5,1.3,13.2,13.7,31,1.3,NA,9,,13.3,1.8,1.2,16.3
4,1-73-Y-17,1,1,30,1,1-73-Y-17-1-1,414,Dendrocalamus hookeri,Bhalu Bans,15,14.5,3,21.5,25.5,49,1.9,NA,10,,85.2,6.6,1.9,93.7
4,1-73-Y-17,2,2,30,2,1-73-Y-17-2-2,414,Dendrocalamus hookeri,Bhalu Bans,10.1,9.6,3.5,20.8,26.5,56,1.8,NA,11,,46.8,5.7,1.7,54.2
4,1-73-Y-17,3,3,30,3,1-73-Y-17-3-3,414,Dendrocalamus hookeri,Bhalu Bans,9,8.4,3,18.1,22,53,1.5,NA,12,,39.8,4.4,1.5,45.7
5,4-72-Y-1,2,1,30,1,4-72-Y-1-2-1,404,Bambusa nepalensis,Tama bans,4.3,3.4,0.3,8.1,8.3,47,1.6,NA,13,,3.5,1.7,0.3,5.5
6,4-72-Y-4,1,1,30,S1,4-72-Y-4-1-S1,404,Bambusa nepalensis,Tama bans,9.3,7.9,5,15,19.7,48,2.2,NA,14,,34.7,3.8,2.4,40.9
6,4-72-Y-4,1,2,30,S2,4-72-Y-4-1-S2,404,Bambusa nepalensis,Tama bans,4.6,9.3,0.8,9,9.2,23,1.3,NA,15,,7.3,0.5,0.3,8.1
6,4-72-Y-4,1,3,30,S3,4-72-Y-4-1-S3,404,Bambusa nepalensis,Tama bans,9.2,8.2,1.5,20,20.9,51,2.4,NA,16,,45.5,3.7,3.8,53
7,4-72-Y-2,3,1,30,1,4-72-Y-2-3-1,406,Bambusa nutans,taru,7.4,7.4,0.5,10.5,10.7,47,1.9,NA,17,,11.9,3.4,0.95,16.25
8,3-10-Y-4,1,1,55,1,3-10-Y-4-1-1,406,Bambusa nutans,taru bans,7.1,6.8,0.5,15.2,15.3,44,1.3,NA,18,,25,7.3,6.6,38.9
8,3-10-Y-4,2,2,30,2,3-10-Y-4-2-2,406,Bambusa nutans,taru bans,5,4.7,0.5,11.9,12.9,39,0.9,NA,19,,6.4,0.7,2.2,9.3
9,1-74-Y-15,1,1,20,M,1-74-Y-15-1-M,414,Dendrocalamus hookeri,Bhalu Bans,8,7.8,7,17,22.5,54,1.65,NA,20,,30.884,4.245,4.4,39.529
9,1-74-Y-15,1,2,25,L,1-74-Y-15-1-L,414,Dendrocalamus hookeri,Bhalu Bans,14,13.1,12,19,25.6,65,1.2,NA,21,,49.69,1.08,4.53,55.3
10,1-74-Y-12,3,1,30,1,1-74-Y-12-3-1,414,Dendrocalamus hookeri,Bhalu Bans,5,4.5,4,7.7,9,24,1,NA,22,,54,1.85,1,56.85
11,1-62- Y-20,C1,1,30,S,1-62- Y-20-C1-S,404,Bambusa nepalensis,B. nepalensis,3.5,3.2,4,7.8,11.6,24,0.4,NA,23,,1.8,1.16,1.53,4.49
11,1-62- Y-20,C1,2,30,M,1-62- Y-20-C1-M,404,Bambusa nepalensis,B. nepalensis,7.8,7.7,4.4,13.2,15.6,34,0.9,NA,24,,16.2,1.726,3.15,21.076
11,1-62- Y-20,C1,3,30,L,1-62- Y-20-C1-L,404,Bambusa nepalensis,B. nepalensis,9,8.7,4.7,15.6,19.2,49,1.1,NA,25,,32.42,3.126,3.765,39.311
11,1-62- Y-20,C4,1,30,S,1-62- Y-20-C4-S,413,Dendrocalamus hamiltonii,D. hamiltorii,4.7,4.6,6,13.7,15.3,44,0.6,NA,26,,6.44,0.62,0.655,7.715
